Client Name,Feature or part of Bridge this feedback is related to,What is the problem the user is experiencing?,Why would fixing this problem be valuable to this client?,Notes
Aware Recovery Care,Goals,"Couple of problems that are stopping them from using goals: 1) Their company goals are actually OKRs so there's about two sentences worth of information for each OKR. The format of company goals doesn't allow for spacing or additional info and doesn't display all 1,000 characters in the little box, so company goals can't be utilized by Aware Recovery Care. They have company goals though, so they are disappointed that they can't be displayed as needed.","They work hard to create company OKRs and it is a norm in this company that individual and team goals should contribute/align to OKRs. Leadership cares most about these OKRs and goals (they want to check in on it frequently) and since goals doesn't meet this need and Aware Recovery Care doesn't feel they can use company goals at all,  they may lose executive support for this software as a result. ",
Aware Recovery Care,Goals,"2) UI does not show full picture of goal alignment data, only individual goals aligned to company goals. While the new data export on goals does show this data, it isn't in the UI where they want to access it easily and show their leadership at any time without a lot of manual work to pull the CSV and build visuals from that data manually.","They work hard to create company OKRs and it is a norm in this company that individual and team goals should contribute/align to OKRs. Leadership cares most about these OKRs and goals (they want to check in on it frequently) and since goals doesn't meet this need and Aware Recovery Care doesn't feel they can use company goals at all,  they may lose executive support for this software as a result. ",
Aware Recovery Care,Goals,"3)Goals aren't visible to an entire reporting line/department, only between manager and direct reports. They want to set one departmental goal rather than ask every manager to repeat the same goal and potentially lose the message like a game of telephone.","They work hard to create company OKRs and it is a norm in this company that individual and team goals should contribute/align to OKRs. Leadership cares most about these OKRs and goals (they want to check in on it frequently) and since goals doesn't meet this need and Aware Recovery Care doesn't feel they can use company goals at all,  they may lose executive support for this software as a result. ",
Meet Me In The Cloud,Courses,"The users wants to be able to embed SCORM/HTML5 packages into courses with Bridge content, not upload them as separate courses. Donna said, ""it’s really about being able to add an interactive piece within a Course, so I can keep my file sizes small and easily interchangeable/updatable, plus take advantage of the other features within Bridge. Having to create each as a separate Course and put them within a Program is just an awful solution which takes away the nice learning flow of a single course.""","This would make authoring/updating SCORM/HTML5 content in Bridge way easier and more seamless. She mentioned she had seen other clients requesting similar functionality in the community, this would be a feature that would help multiple customers.",We are not focusing on this at the moment
Empire Today,Career,Cannot see drivers that an individual entered onto Bridge without masquerading. Process is very manual and slow and they'd prefer to have a report on it. ,"Empire is experiencing turnover in the sales department. Their sales reps and managers are both having higher than desired turnover and through their own digging, Empire found correlations between managers' top drivers and their team's engagement scores (used an NPS survey tool to gather this data). They would like to take this information and use it to influence hiring decisions and manager training initiatives, but the process for pulling drivers information is so painstaking that it turns them off to this project. Having a report on drivers would make this type of data exploration faster and easier to help Empire address attrition problems faster. ",We are not focusing on Career at the moment
Heinemann ,Connect/Directory,"Currently there is no way to control visibility on your email address being displayed in Connect.  Even if the email was only visible to managers and admin, that would be fine with yet another option to have individual users control the visibility (similar to how we can control phone number) ","Heinemann is a retail business and the majority of their employees have a non @heinneman email. As such, these employees' personal emails are being pulled into Bridge and displayed in the Directory. Heinnemann is worried that this could be a Privacy issue as anyone in the company has visibility into someone's personal email address.  The admin is worried that if someone complained about it, they would end up shutting down Bridge. He does not want to turn off connect as the skill communities are still valuable to them. Getting company emails (O365) for the retail employees is very costly and they are at least a year out from even going that route as a business.",https://instructure.atlassian.net/browse/BEAM-3268
Orbis Education Services,Admin Tools,"Permissions – we wanted editing users to have “course” specific permissions and “subaccount” specific permissions.  Those seemed to be in conflict and that created issues.
",Permissions and Course access was a main issue and concern for them not renewing. ,PB owns roles/permissions but I think we need to decide priority of this.  Content permissions is something that comes up often so may be something to explore for a future PI
Orbis Education Services,Admin Tools," Access – we wanted end users to have access to courses that resided within different “subaccounts” from the same domain.  We tried to work around the limitations of permissions, but ended up with access issues.
",Permissions and Course access was a main issue and concern for them not renewing. ,
Orbis Education Services,Admin Tools,"Documentation – often not accurate and confounding, especially with SSO integration",Permissions and Course access was a main issue and concern for them not renewing. ,
Fastly,Mobile App,The learning library is not currently available in the learning library. ,The learners would be able to view the learning library and self-enroll in content on their mobile devices. ,Will be available end of April
AvidXchange,Insights,"AvidXchange would like to be able to send custom reports to people from Bridge. They want members of their sales team to see learn insights for the whole sales department, but not have admin access to anything else in Bridge. Currently, the workaround would require messing with the org chart and putting someone who isn't head of the sales department at the top so they could see manager insights. Rather than playing around with permissions where some people will see more insights than they want, they'd prefer to have the ability to send desired insights reports to specific people through Bridge. ",This would allow AvidXchange to give people lower on the totem pole the reports they need to do their jobs without giving them too much access on Bridge by messing around with permissions. ,
SEFA,"Homepage, Admin Tools",Kenneth wants the ability to completely remove the splash page entirely. ,They would no longer have to worry about having the splash page.,
SEFA,"Homepage, Admin Tools","Kenneth is wanting to remove all ""Bridge"" logos from the account. They don't refer to it as ""Bridge"", they call it ""SPECS"". ","They would not have to worry about explaining what ""Bridge"" is to their clients since they call it something else. ",I think they can do this with custom branding. We charge them for it.
